"Name","Department","Would Take Again","Level of Difficulty","Total Ratings","Overall Quality","College"
"Smith, Jennifer ","Languages","N/A","2.9","11","4.2","UNC"
"Pfaff, Richard ","History","N/A","4.7","9","2.7","UNC"
"Belkale, Prakash ","Mathematics","","3.2","15","2.8","UNC"
"O'Shaughnessey, Margaret ","English","","2.8","25","3.6","UNC"
"Lindsay, Lisa ","History","N/A","2.8","32","4.5","UNC"
"Welch, Greg ","Computer Science","N/A","3.5","2","2.5","UNC"
"Sontag, David ","Communication","N/A","2.5","2","4.5","UNC"
"Putney, Christopher ","Languages","N/A","2.8","13","4.4","UNC"
"Panter, Abigail ","Psychology","N/A","3.4","7","4.4","UNC"
"Stone, Chuck ","Journalism","N/A","3.0","9","3.3","UNC"
"Roush, Christopher ","Journalism","","3.5","21","4.7","UNC"
"Jeffrey, Justin ","Philosophy","N/A","3.1","8","3.7","UNC"
"Raterman, Ty ","Philosophy","N/A","3.0","4","4.0","UNC"
"Pitz, Gordon ","Psychology","N/A","4.3","16","3.1","UNC"
"Steponaitis, Vin ","Anthropology","N/A","3.3","17","3.6","UNC"
"Hevia, James ","History","N/A","2.0","3","4.8","UNC"
"Lefebvre, Donna ","Political Science","N/A","2.2","10","4.7","UNC"
"Obler, Jeffrey ","Political Science","N/A","2.0","1","4.0","UNC"
"Curtis, Edward ","Theology","N/A","1.4","5","3.2","UNC"
"Wing, Stafford ","Music","N/A","4.5","2","3.3","UNC"
"Moose, Ruth ","English","N/A","3.1","7","3.1","UNC"
"Soloway, Richard ","History","N/A","3.0","1","4.5","UNC"
"Miguel, Mabel ","Business","N/A","2.6","7","2.9","UNC"
"Davis, David ","English","N/A","3.3","7","4.4","UNC"
"Schwartz, Joel ","Public Policy","N/A","2.7","3","4.8","UNC"
"Sandridge, Norman ","Languages","N/A","2.0","4","5.0","UNC"
"Harris, Barbara ","Women's Studies","N/A","3.0","21","2.9","UNC"
"Bensmaia, Sliman ","Psychology","N/A","4.4","13","3.5","UNC"
"Henderson, Mae ","English","N/A","3.7","10","2.6","UNC"
"Bardsley, Jan ","Ethnic Studies","","2.7","18","4.3","UNC"
"Zaborowski, Dennis ","Fine Arts","N/A","1.0","4","4.9","UNC"
"Middleton, Jason ","Communication","N/A","2.0","3","4.8","UNC"
"Leinbaugh, Ted ","English","","3.1","26","3.8","UNC"
"Sorrell, Thomas ","Chemistry","N/A","4.0","29","2.3","UNC"
"Geissinger, Ladnor ","Mathematics","N/A","4.2","19","2.1","UNC"
"Peirce, Ellen ","Business","N/A","3.3","6","3.9","UNC"
"Gangi, Greg ","Environmental Sci & Eng","","2.7","65","4.0","UNC"
"Latouch, Jason ","Sociology","N/A","1.8","6","4.3","UNC"
"Jicha, Don ","Chemistry","N/A","3.5","11","2.1","UNC"
"Forest, Greg ","Mathematics","N/A","3.5","2","5.0","UNC"
"McCoy, James ","History","N/A","3.7","15","2.2","UNC"
"Sams, Kenneth ","Classics","N/A","3.3","15","3.0","UNC"
"Finson, Jon ","Music","N/A","2.1","14","4.1","UNC"
"Christley, Jennifer ","English","N/A","2.8","5","2.5","UNC"
"Wooten, Cecil ","Classics","N/A","3.9","18","4.3","UNC"
"Yopp, Jan ","Journalism","N/A","3.4","7","5.0","UNC"
"Thompson, James ","English","N/A","2.0","7","3.1","UNC"
"Brooks, Willis ","History","N/A","4.4","5","3.4","UNC"
"Bell, Macalester ","Philosophy","N/A","3.2","6","4.2","UNC"
"Waters, Marcey ","Chemistry","N/A","3.6","27","4.3","UNC"
"Anderson, Evan ","Economics","N/A","4.4","8","1.6","UNC"
"Rhode, Paul ","Economics","N/A","2.5","2","3.5","UNC"
"Rosefielde, Steven ","Economics","N/A","2.6","16","3.5","UNC"
"Akin, John ","Economics","N/A","4.0","3","3.3","UNC"
"Hopkins, Marian ","Physical Ed","N/A","3.0","6","3.1","UNC"
"Statder, Phillip ","Classics","N/A","2.5","2","5.0","UNC"
"Beckman, Richard ","Journalism","N/A","3.5","6","2.3","UNC"
"Weiss, Steve ","Computer Science","N/A","2.8","10","4.4","UNC"
"Thorp, Holden ","Chemistry","N/A","3.1","12","3.7","UNC"
"Grossberg, Lawrence ","Communication Studies","N/A","4.7","6","4.2","UNC"
"Barney, William ","History","","3.7","33","3.8","UNC"
"Maurin, Elana ","Psychology","N/A","3.0","1","5.0","UNC"
"Maroni, Gustavo ","Biology","N/A","3.0","5","3.6","UNC"
"Misch, Donald ","Biology","N/A","2.7","3","3.7","UNC"
"Matthysse, Ann ","Biology","","4.4","16","1.9","UNC"
"Reice, Seth ","Biology","N/A","3.6","14","2.8","UNC"
"Matson, Steven ","Biology","N/A","3.5","4","3.8","UNC"
"Kendall, Ritchie ","English","N/A","2.5","12","4.5","UNC"
"Goldstein, Bob ","Biology","","2.9","18","3.9","UNC"
"Vernon, Richard ","Languages","","1.6","18","4.7","UNC"
"Wittig, Joseph ","English","N/A","3.2","5","4.7","UNC"
"Romeo, Genevieve ","English","N/A","3.0","9","4.6","UNC"
"McFee, Michael ","English","","3.1","17","3.3","UNC"
"Kindem, Gorham ""hap"" ","Communication","N/A","2.7","3","4.3","UNC"
"Tsui, Frank ","Physics","N/A","3.7","15","3.2","UNC"
"Bynum, Kenneth ","Biology","N/A","3.4","16","1.9","UNC"
"Lycan, William ","Philosophy","N/A","1.6","10","4.1","UNC"
"Erie, Dorothy ","Chemistry","N/A","3.8","15","1.9","UNC"
"Morse, Carolyn ","Chemistry","","3.9","68","2.6","UNC"
"Harms, Patricia ","Business","N/A","3.4","8","3.8","UNC"
"Sekelsky, Jeff ","Biology","N/A","2.7","7","4.5","UNC"
"Eble, Connie ","English","","3.6","38","3.1","UNC"
"Thrailkill, Jane ","English","N/A","2.6","16","4.7","UNC"
"McClain, Kimowan ","Fine Arts","N/A","2.0","4","4.5","UNC"
"Kovalenkov, Alexander ","Economics","N/A","3.2","5","2.9","UNC"
"Birdsall, Stephen ","Geography","","2.7","47","3.8","UNC"
"Wilde, James ","Economics","N/A","2.4","5","4.2","UNC"
"Dandashi, Manhal ","Languages","N/A","2.7","6","4.0","UNC"
"Florin, John ","Geography","","2.3","36","3.8","UNC"
"Byrns, Ralph ","Economics","N/A","3.0","101","3.8","UNC"
"Headrick, Ashlee ","Languages","N/A","4.3","4","4.3","UNC"
"Parent, Ted ","Philosophy","N/A","3.8","4","2.3","UNC"
"Pettit, Dean ","Philosophy","N/A","3.1","8","3.2","UNC"
"Reeve, Cdc ","Philosophy","N/A","3.2","34","3.7","UNC"
"Parker, K ","Art","N/A","2.0","4","2.3","UNC"
"Colwell, James ","Psychology","","","","","UNC"
"Tiani, Domenic ","Chemistry","","3.9","119","3.1","UNC"
"Kropp, Paul ","Chemistry","N/A","3.1","16","3.2","UNC"
"Rosenfeld, Lawrence ","Communication Studies","N/A","3.2","16","4.3","UNC"
"Superfine, Richard ","Physics","N/A","3.1","11","4.1","UNC"
"Balthrop, Virgil ","Communication","","3.0","16","3.5","UNC"
"King, Richard ","Psychology","N/A","1.9","16","3.5","UNC"
"Lawson, Robert ","Psychology","N/A","2.3","32","3.2","UNC"
"Hoffert, Sylvia ","Women's Studies","N/A","2.6","7","4.9","UNC"
"Hastings, Anne ","Social Science","","2.2","51","3.3","UNC"
"Zhao, Xinshu ","Journalism","N/A","4.0","1","5.0","UNC"
"Kurtz-Costes, Beth ","Psychology","N/A","2.8","4","3.6","UNC"
"Gowani, Amran ","Chemistry","N/A","1.0","1","5.0","UNC"
"McIntosh, Terence ","History","N/A","3.7","14","2.5","UNC"
"Enns, Peter ","Political Science","N/A","3.0","1","5.0","UNC"
"Cooper, Thomas ","Languages","N/A","2.0","2","5.0","UNC"
"Allison, Greg ","Accounting","N/A","2.7","6","3.8","UNC"
"Dowell, Grant ","Philosophy","N/A","2.3","3","5.0","UNC"
"Combest, Eric ","History","N/A","2.7","9","4.6","UNC"
"Whitmore, Tom ","Geography","N/A","3.7","3","3.3","UNC"
"Waltman, Mike ","Communication","N/A","2.2","12","3.3","UNC"
"Sayre-McCord, Geoff ","Philosophy","","3.7","57","3.8","UNC"
"Verkerk, Dorothy ","Fine Arts","","3.2","29","3.9","UNC"
"Hershfield, Joa ","Women's Studies","N/A","2.0","6","3.2","UNC"
"Griffiths, David ","History","N/A","3.2","5","2.9","UNC"
"Rabinowitz, George ","Political Science","N/A","3.1","38","3.7","UNC"
"Kerzman, Norberto ","Mathematics","N/A","2.7","7","4.1","UNC"
"Stewart, Kevin ","Geology","","2.8","37","4.8","UNC"
"Janda, Laura ","Languages","N/A","3.7","3","4.8","UNC"
"Mulherin, Nick ","English","","","","","UNC"
"Granados, Andrea ","Languages","N/A","3.4","5","3.0","UNC"
"Sandlin, Betsy ","Languages","N/A","1.0","1","5.0","UNC"
"Weiss, Sara ","Music","N/A","1.0","2","5.0","UNC"
"Anderson, Allen ","Music","N/A","3.4","9","3.5","UNC"
"Fuchs, Jeff ","Music","","1.5","30","4.8","UNC"
"Tsong, Mayron ","Music","N/A","3.9","16","3.2","UNC"
"Gordon, Cameron ","Psychology","N/A","2.4","5","4.3","UNC"
"Avery, Laurence ","English","N/A","2.0","4","4.5","UNC"
"Vachudova, Milada ","Political Science","N/A","2.6","11","4.2","UNC"
"Pomerantz, Jeff ","Information Science","N/A","2.3","6","4.6","UNC"
"Krebs, Chris ","Sociology","N/A","2.5","2","4.8","UNC"
"Rimanyi, Richard ","Mathematics","","3.0","15","4.3","UNC"
"Landy, David ","Philosophy","N/A","2.8","4","4.1","UNC"
"Leloudis, James ","History","N/A","3.0","8","4.1","UNC"
"Kramer, Lloyd ","History","","3.1","29","4.5","UNC"
"Lafferty, Maura ","Classics","N/A","3.0","4","3.6","UNC"
"Mirabile, Mac ","Economics","N/A","2.3","3","4.5","UNC"
"Daniel, Evelyn ","Information Science","N/A","4.0","3","3.7","UNC"
"Browning, Christopher ","History","N/A","4.2","13","3.4","UNC"
"Leiter, Andrew ","English","N/A","2.0","2","3.0","UNC"
"Etheridge, Debra ","Mathematics","","3.5","60","2.9","UNC"
"Rosu, Radu ","Mathematics","N/A","3.3","9","3.3","UNC"
"Shinkman, Paul ","Psychology","N/A","2.8","19","2.3","UNC"
"Semonche, John ","History","N/A","3.9","17","3.2","UNC"
"Goncalves, Luis ","Languages","N/A","3.7","3","3.3","UNC"
"Karwowski, Hugon ","Physics","N/A","3.4","22","4.5","UNC"
"Smith, Chris ","Sociology","N/A","3.0","6","3.0","UNC"
"Reynolds, Julie ","Biology","N/A","1.3","3","4.0","UNC"
"Perez, Louis ","History","N/A","4.6","21","3.6","UNC"
"Nittoli, Harriet ","Languages","N/A","2.3","10","4.7","UNC"
"Medakovich, Molly ","Fine Arts","N/A","4.3","3","4.7","UNC"
"Gert, Heather ","Philosophy","","","","","UNC"
"Larus, Deanna ","Psychology","N/A","3.1","8","3.6","UNC"
"Sutton, Kelly ","Psychology","N/A","2.0","2","5.0","UNC"
"Gibson, Rhonda ","Journalism","","3.2","18","4.9","UNC"
"Rocholl, Joerg ","Finance","N/A","3.0","4","4.0","UNC"
"Cante, Richard ","Communication","N/A","3.4","17","3.7","UNC"
"Uhlenberg, Peter ","Sociology","N/A","2.3","3","4.7","UNC"
"Finkler, Kaja ","Anthropology","N/A","2.7","10","2.1","UNC"
"Hawkins, Jane ","Mathematics","N/A","3.7","16","3.3","UNC"
"DeForbes, Malcolm ","Chemistry","N/A","2.5","4","4.3","UNC"
"Grumet, Madeleine ","Education","N/A","3.3","12","2.9","UNC"
"Talenti, Francesca ","Film","N/A","3.3","3","3.3","UNC"
"Dooley, Ray ","Theater","N/A","2.4","5","3.8","UNC"
"Hammond, David ","Theater","N/A","3.6","5","3.5","UNC"
"Darling, Joan ","Theater","N/A","2.3","6","4.7","UNC"
"Turner, Craig ","Theater","N/A","4.0","2","5.0","UNC"
"Reckford, Kenneth ","Classics","N/A","3.8","4","3.8","UNC"
"Nord, Warren ","Philosophy","N/A","3.0","1","2.0","UNC"
"Aldrich, Howard ","Sociology","","2.8","19","3.7","UNC"
"Langston, Richard ","Languages","","3.2","31","4.6","UNC"
"Simmons, K E ","Philosophy","N/A","1.9","17","4.9","UNC"
"MacLean, Doug ","Philosophy","","2.8","15","3.7","UNC"
"Tweed, Tom ","Theology","N/A","3.0","4","4.1","UNC"
"Yao, Lingxing ","Mathematics","N/A","3.0","2","3.0","UNC"
"Hayes, Tim ","English","N/A","3.0","3","3.0","UNC"
"O'Neal, Helen ","Languages","N/A","2.0","2","5.0","UNC"
"Ashlock, Jen ","Sociology","N/A","2.8","9","2.9","UNC"
"Mouw, Ted ","Sociology","","2.0","26","4.6","UNC"
"Haviland, Sarah ","Sociology","N/A","2.0","4","3.6","UNC"
"Thissen, David ","Psychology","N/A","3.2","5","4.0","UNC"
"Cisarano, Jason ","Languages","N/A","3.8","4","3.9","UNC"
"Slocum, Karla ","Anthropology","N/A","2.4","14","4.2","UNC"
"Chatterjee, Nila ","Anthropology","N/A","2.0","2","3.3","UNC"
"Parker, Sarah ","Languages","N/A","3.0","9","3.6","UNC"
"Brown, Gregory ","Finance","N/A","3.0","2","5.0","UNC"
"Bartig, Kevin ","Music","N/A","1.4","7","4.4","UNC"
"Lee, Jim ","Communication Studies","","","","","UNC"
"Schroeer, Dietrich ","Physics","N/A","4.3","3","2.3","UNC"
"Shapiro, Alan ","English","N/A","2.1","11","3.9","UNC"
"Unks, Gerald ","Education","N/A","2.4","20","4.3","UNC"
"Graves, Brian ","Communication","N/A","1.3","3","4.7","UNC"
"Amat, Iluminada ","Languages","N/A","3.4","22","3.7","UNC"
"Epes, Heather ","English","N/A","2.0","1","4.5","UNC"
"Glish, Gary ","Chemistry","N/A","3.9","14","2.4","UNC"
"Ross, Kelly ","English","N/A","3.2","6","4.7","UNC"
"Lupton, Daniel ","English","N/A","2.7","10","4.7","UNC"
"Mosholder, Sara ","Languages","N/A","3.0","1","1.0","UNC"
"Vision, Todd ","Biology","","3.8","16","1.6","UNC"
"Jorgenson, James ","Chemistry","","3.4","26","3.8","UNC"
"Carlston, Erin ","English","N/A","3.4","9","4.2","UNC"
"Langbauer, Laurie ","English","N/A","2.8","17","3.6","UNC"
"Dalmas, Franck ","Languages","N/A","3.0","1","4.0","UNC"
"Kumar, Shrawan ","Mathematics","N/A","4.1","12","3.2","UNC"
"Noblitt, Jim ","Languages","N/A","2.6","9","4.9","UNC"
"Konrad, Charles ","Geography","","2.9","33","3.6","UNC"
"Evens, Terence ","Anthropology","N/A","3.2","20","2.9","UNC"
"Huber, Evelyne ","Political Science","N/A","3.7","15","2.9","UNC"
"Taylor, Lorrain ","Psychology","N/A","2.6","5","3.6","UNC"
"Hildebrand, Reginald ","Ethnic Studies","N/A","1.9","13","4.9","UNC"
"Hofweber, Thomas ","Philosophy","","3.1","13","3.3","UNC"
"O'Hara, James ","Classics","N/A","3.0","4","4.7","UNC"
"Gray, Virginia ","Political Science","N/A","3.4","21","1.8","UNC"
"Irons, Susan ","English","N/A","3.5","21","4.1","UNC"
"Weston, Elizabeth ","English","N/A","3.0","3","2.8","UNC"
"Pielak, Gary ","Chemistry","","3.9","76","2.5","UNC"
"Moody, Aaron ","Geography","","3.2","12","2.8","UNC"
"Eliz, Castellow ","Languages","","","","","UNC"
"Mills-Koonce, Roger ","Psychology","N/A","2.5","4","4.2","UNC"
"Salemi, Michael ","Economics","N/A","3.9","43","3.0","UNC"
"Packer, Cathy ","Journalism","N/A","4.4","10","3.9","UNC"
"Clere, Sarah ","English","N/A","1.3","3","4.5","UNC"
"Corrado, Michael ","Law","N/A","3.3","51","4.4","UNC"
"Terrenato, Nicola ","Classics","N/A","2.5","17","3.9","UNC"
"Roma, Leticia ","Languages","N/A","2.7","7","4.2","UNC"
"Forbes, Malcolm ","Chemistry","N/A","3.1","27","2.2","UNC"
"Ernst, Carl ","Religion","","3.0","22","3.1","UNC"
"Boxill, Jeanette ","Philosophy","N/A","1.8","6","4.5","UNC"
"Leonard, Stephen ","Political Science","N/A","3.5","28","3.0","UNC"
"Pukkila, P.J. ","Biology","N/A","3.7","10","2.7","UNC"
"Ashby, Valerie ","Chemistry","N/A","3.8","29","4.1","UNC"
"Quinn, Richard ","English","N/A","2.0","3","5.0","UNC"
"Peifer, Mark ","Biology","","4.2","10","3.1","UNC"
"O'Neill, Patrick ","English","N/A","3.3","16","4.5","UNC"
"Cervigni, Dino ","Languages","N/A","2.0","3","3.8","UNC"
"Pierce, David ","Physics","N/A","2.1","17","4.2","UNC"
"Stitzinger, Amy ","English","N/A","3.3","4","5.0","UNC"
"Millikan, Robert ","Epidemiology","N/A","2.0","1","5.0","UNC"
"Vargo, Michael ","Psychology","","","","","UNC"
"Maisch, Bill ","Languages","N/A","2.0","9","3.9","UNC"
"Flaxman, Greg ","English","","3.3","21","4.0","UNC"
"Tyson, Ruel ","Religion","N/A","2.6","5","2.8","UNC"
"Robertson, Graeme ","Political Science","N/A","3.3","6","4.2","UNC"
"MacNeil, Anne ","Music","N/A","3.0","17","2.7","UNC"
"Green, Michael ","History","N/A","3.0","3","4.0","UNC"
"Life, Allan ","English","N/A","2.5","14","2.9","UNC"
"Cooper, Pamela ","English","N/A","2.9","9","4.2","UNC"
"Hunt, Michael ","History","N/A","3.2","5","4.4","UNC"
"Berryman, Todd ","History","N/A","3.2","20","4.3","UNC"
"Morken, Jim ","Chemistry","N/A","4.7","3","3.0","UNC"
"Johnson, Jeff ","Chemistry","N/A","3.9","7","3.9","UNC"
"Folda, Jaroslav ","Art History","N/A","4.4","5","4.9","UNC"
"Harris, Michael ","Art History","N/A","2.6","5","1.9","UNC"
"Webster, Mort ","Political Science","N/A","3.5","2","5.0","UNC"
"Tomter, Per ","Mathematics","N/A","5.0","2","1.5","UNC"
"Kelly, Douglas ","Mathematics","N/A","1.5","6","4.7","UNC"
"Widmayer, Jeff ","Languages","N/A","2.1","9","3.7","UNC"
"Tickner, Amanda ","Anthropology","N/A","2.2","10","3.4","UNC"
"Hassett, Miranda ","Anthropology","N/A","2.0","7","4.2","UNC"
"Burgos-Lovece, Ruy ","Languages","N/A","3.7","17","2.7","UNC"
"Garcia, David ","Music","N/A","2.4","17","3.7","UNC"
"Petersen, Karl ","Mathematics","N/A","3.5","6","3.5","UNC"
"Knight, Sharon ","Languages","N/A","3.0","3","3.8","UNC"
"Straughan, Dulcie ","Journalism","N/A","2.4","5","4.6","UNC"
"Lieb, Jason ","Biology","N/A","4.4","11","3.4","UNC"
"MacIel, Yv ","Languages","N/A","3.0","2","4.8","UNC"
"Wu, Yue ","Physics","N/A","3.8","6","3.5","UNC"
"Eubanks, Kevin ","Languages","N/A","3.3","3","4.7","UNC"
"Johnson, Melissa ","English","N/A","1.5","2","4.8","UNC"
"Clemens, Chris ","Physics & Astronomy","N/A","2.7","10","4.6","UNC"
"Mersini, Laura ","Physics","N/A","3.0","19","3.2","UNC"
"Phillips, David ","English","N/A","2.4","7","4.0","UNC"
"Strychalski, Wanda ","Mathematics","N/A","4.0","3","3.3","UNC"
"Gorkarisel, Banu ","Geography","N/A","3.1","9","2.8","UNC"
"Rial, Jose ","Geology","N/A","2.3","9","2.7","UNC"
"Jones, Jason ","Economics","N/A","2.7","3","3.2","UNC"
"Sampson, Dr. ","Psychology","N/A","1.8","11","4.8","UNC"
"Cavin, Winston ","Journalism","N/A","4.1","7","3.6","UNC"
"Angell, Chris ","Physics","N/A","2.3","3","4.8","UNC"
"Gomez, Luis Marcelino ","Languages","","2.8","29","4.4","UNC"
"Thayer, Cheryl ","English","N/A","2.7","10","4.1","UNC"
"Fried, Bruce ","Health Administration","","","","","UNC"
"Rozansky, Lev ","Mathematics","","3.1","33","3.1","UNC"
"Daniels, Robert ","Anthropology","N/A","2.4","15","3.7","UNC"
"Isleem, Nasser ","Asian Studies","N/A","3.6","12","4.8","UNC"
"Greenberg, Jane ","Information Science","N/A","2.5","2","1.0","UNC"
"Perelmuter, Rosa ","Literature","N/A","3.1","10","2.5","UNC"
"Jordan, Joseph ","Ethnic Studies","","2.9","13","3.5","UNC"
"Lewis, Briana ","Languages","N/A","2.6","8","4.8","UNC"
"Cadwallader, Michael ","English","N/A","2.9","9","4.8","UNC"
"Rose, Yoshi ","English","N/A","2.5","4","4.0","UNC"
"Westerman, Molly ","English","N/A","3.2","12","3.9","UNC"
"Taylor, Todd ","English","","2.8","17","4.0","UNC"
"Glassock, Lynn ","Music","N/A","1.7","3","4.7","UNC"
"Champagne, Arthur ","Physics","N/A","3.7","9","3.8","UNC"
"Lee, Malgorzata ","Languages","N/A","3.0","54","4.0","UNC"
"Harper, Jessica ","English","N/A","2.0","4","4.1","UNC"
"Johnston, Anne ","Journalism","N/A","4.1","8","3.7","UNC"
"Li, Wendan ","Languages","N/A","2.4","5","4.9","UNC"
"Keeling, Kara ","Communication","N/A","3.8","4","2.3","UNC"
"Galow, Tim ","English","N/A","2.7","3","4.3","UNC"
"Renshaw, Keith ","Psychology","N/A","2.8","4","5.0","UNC"
"Birdsong, Jeffrey ","Languages","N/A","3.3","3","4.0","UNC"
"Clegg, Tom ","Physics","N/A","3.9","15","4.2","UNC"
"Weeks, Kevin ","Chemistry","N/A","3.5","22","3.1","UNC"
"Iliadis, Christian ","Physics","N/A","2.9","7","4.8","UNC"
"Dangl, Jeff ","Biology","N/A","3.9","9","2.6","UNC"
"Sheiko, Sergei ","Chemistry","N/A","4.2","5","2.8","UNC"
"Christiansen, Wayne ","Physics","N/A","2.7","3","4.2","UNC"
"Casado Presa, Christina ","Languages","N/A","2.2","6","4.5","UNC"
"Key, Clinton ","Sociology","N/A","2.7","10","2.9","UNC"
"Huff, Dan ","Music","N/A","2.3","3","5.0","UNC"
"Moller, Stephanie ","Sociology","N/A","2.7","3","4.5","UNC"
"Kanagy, Caroline ","Psychology","N/A","3.0","5","2.8","UNC"
"Allsep, Michael ","History","N/A","2.0","4","3.8","UNC"
"Goodman, Sue ","Mathematics","N/A","2.6","9","4.9","UNC"
"Koelb, Clayton ","Languages","N/A","3.2","15","3.1","UNC"
"Porter, Robert ","Humanities","","2.5","33","4.3","UNC"
"Martens, Chris ","Science","N/A","2.3","6","4.3","UNC"
"Roberts, Christopher ","Religion","N/A","4.5","2","2.5","UNC"
"Resnik, Michael ","Philosophy","N/A","3.0","2","3.0","UNC"
"Marangell, Robert ","Mathematics","N/A","3.1","7","4.3","UNC"
"Shryock, Brenda ","Mathematics","","3.9","68","2.5","UNC"
"Brown, Robin ","English","N/A","3.4","12","3.0","UNC"
"Burns, Jane ","Women's Studies","N/A","2.5","4","3.9","UNC"
"Hill, Thomas ","Philosophy","N/A","2.3","7","3.5","UNC"
"Eng, Eugenia ","Health Education","N/A","1.0","1","1.5","UNC"
"Thompson, Bond ","English","N/A","2.8","4","4.8","UNC"
"Raleigh, Donald ","History","N/A","4.1","19","4.2","UNC"
"Regester, Charlene ","African-American Studies","","3.7","18","4.0","UNC"
"Seay, James ","English","N/A","3.7","9","4.1","UNC"
"Lees, Jonathan ","Geology","N/A","3.5","18","3.0","UNC"
"Booth, Karen ","Women's Studies","","3.4","27","3.2","UNC"
"Williams, Heather ","History","N/A","2.8","8","4.2","UNC"
"Reisner, Howard ","Biology","N/A","3.0","4","3.5","UNC"
"Kandra, Kelly ","Psychology","N/A","2.0","2","4.8","UNC"
"Ulku-Steiner, Beril ","Psychology","","3.9","34","3.2","UNC"
"Reed, Jason ","Biology","N/A","3.9","7","2.6","UNC"
"Sockman, Keith ","Biology","","3.6","13","3.2","UNC"
"Wallace, Megan ","Philosophy","N/A","2.4","7","4.0","UNC"
"Bartolone, Regina ","Languages","N/A","2.5","2","2.8","UNC"
"Fitswell, Dick ","English","","","","","UNC"
"Clayton, Ian ","Linguistics","N/A","3.3","3","3.8","UNC"
"Chosson, Gilles ","Languages","N/A","4.0","1","5.0","UNC"
"Faflik, David ","English","N/A","4.0","2","1.5","UNC"
"Klomhaus, Heather ","Languages","N/A","2.5","2","4.8","UNC"
"Minder, Mark ","Anthropology","N/A","1.0","1","4.5","UNC"
"Reid, Donald ","History","","3.3","34","2.5","UNC"
"Pollock, Della ","Communication Studies","N/A","2.2","5","3.8","UNC"
"Stimson, James ","Political Science","N/A","2.6","19","3.7","UNC"
"Amer, Sahar ","Asian Studies","N/A","4.6","7","3.6","UNC"
"Reinert, Thomas ","English","","2.6","25","4.6","UNC"
"Strong, Michelle ","History","N/A","3.0","1","4.5","UNC"
"Polo De Bernabé, José ","Literature","N/A","2.5","2","2.0","UNC"
